sent,label
#菲军舰恶意撞击#又他妈一个猴子,1
#菲军舰恶意撞击#搞死它死菲佣,1
我们的军队是摆设吗？,1
#菲军舰恶意撞击#很是气愤，这么小的国家也敢欺负中国，太嚣张了，端了它！,1
#菲军舰恶意撞击#肯定又是谴责了，中国政府还能干什么？,1
泱泱中华，被人欺负的跟个瘪三似的，悲哀！,1
瞧瞧你的这帮不孝的兔崽子啊！,1
可悲啊……,1
#菲军舰恶意撞击#不是ZF无能，也不是人家狡诈，是我们的国民素质教育低下了！,1
你们都吃饱撑的？！,1
当中国人都是傻子吗？,1
#菲军舰恶意撞击#中国人的尊严何在？,1
连菲律宾、越南这些蛮夷小国都敢欺负我们，政府为何不能强硬一些，学学我们的邻居俄罗斯，看看人家！,1
#菲军舰恶意撞击#麻痹蛋丸之国也这么嚣张,1
就连菲律宾这样的小国都敢在老虎头上拨毛：太嚣张了。,1
知道中国政府财大、气粗、胆子小。,1
#菲军舰恶意撞击#.小菲，老鼠，来吧！,1
你会比它更惨...,1
我想吐槽，但你们不是人，还是算了吧，哼,1
小样！,1
#菲军舰恶意撞击#菲 不能再让你飞一会了、、、真是嚣张得不行,1
#菲军舰恶意撞击#软弱的政府!,1
好战的国民!,1
TMMD，军委主席吃屎去了么？,1
#菲军舰恶意撞击#虽说中国还不够强大，但不要用君子行为对小人。,1
越来越差劲了…,1
#菲军舰恶意撞击#这种国家就是没有出息，只知道为别家卖批到时候还要别家数钱，我种国家就是垃圾，国际的败类，嗨真为这些垃圾叹气,1
#菲军舰恶意撞击#东亚病夫！！！,1
我们国家太懦弱了。。。,1
菲律宾大裤衩子都这么嚣张！,1
中国母亲，你太软弱了！,1
菲真是一条狗,1
#菲军舰恶意撞击#连菲佣这种破国家都欺负中国。,1
不争气的中国啊！,1
#菲军舰恶意撞击#打他个狗日小菲，王菲也要打,1
都挺不起来！,1
#菲军舰恶意撞击#丢脸！,1
没用的国家,1
#菲军舰恶意撞击#菲律宾真贱,1
#菲军舰恶意撞击#懦弱的中国政府，被这小国家骑到了头上，中国政府发展了经济丢失了刚硬。,1
#菲军舰恶意撞击#窝囊的糊禁逃崽子，我日泥码,1
#菲军舰恶意撞击#中国，已很让国人失望。,1
#菲军舰恶意撞击#中国在对外就和孙子一样，就会欺负自己人，空军能让美国撞，渔船就能让菲律宾小鬼撞，中国要是不禁枪哥们非让他知道华夏子孙是不好惹的,1
毕竟是中国最黑的党～共产党在执政，持强凌弱……,1
无论政府有怎样的深谋远虑，国人受欺负，就是你们的无能…,1
#菲军舰恶意撞击#hu这狗日的怕是第二个布什,1
#菲军舰恶意撞击#中国军队无能懦弱，什么都听上面的，*,1
#菲军舰恶意撞击#对于中国政府.垃圾.腐败.还很孙子.作为中国人.被欺负.习惯习惯就好,1
#菲军舰恶意撞击#蛋痛的中国人，不痒的政府,1
#菲军舰恶意撞击#现在的中国就是当年晚清，怂包软蛋的官员,1
#菲军舰恶意撞击#中国是时候强硬起来了，不应只停留在懦弱谈判。,1
#菲军舰恶意撞击#胡××还是不行阿～对于美国人不能过于软弱，惩戒一下菲律宾给美国人看看～,1
#菲军舰恶意撞击#就是中国太懦弱了，什么人都敢欺负到头上,1
#菲军舰恶意撞击#菲律宾是无懒小国，占我领海欺我鱼民，请问我们军队在干吗？,1
我们海军在干吗？,1
#菲军舰恶意撞击#中国的领导层太软弱啦，还大国呢！,1
丢人。,1
#菲军舰恶意撞击#中国人民是不可战胜的！,1
#菲军舰恶意撞击#国家的耻辱,1
#菲军舰恶意撞击#中国，还是无法摆脱百年传统的软弱。,1
#菲军舰恶意撞击#小小菲律宾都敢动你中国,1
#菲军舰恶意撞击#这种事怎么这么平常了。,1
媒体都干嘛去了？,1
这不是一个人的病 而是社会,1
#菲军舰恶意撞击#共产党下台,1
#菲军舰恶意撞击#现在的中国太软弱了不知道什么时候能硬起来,1
#菲军舰恶意撞击#中国现在太窝囊了，要是毛爷爷邓爷爷在，什么越南菲律宾，早TM滚蛋了,1
#菲军舰恶意撞击#都几年了，菲律宾屡屡挑衅，外交部除了抗议还有什么，丫的，太懦弱了！,1
我感觉越来越失望了,1
#菲军舰恶意撞击#中国的那群老东西够软蛋  怕了是薄  怕搞乱你们美好的回忆？,1
老了就滚回去报孙子   别让全国人民吐你们口水！,1
#菲军舰恶意撞击#呵呵，谁叫我们国家政府是软蛋呢…,1
#菲军舰恶意撞击#我们不能再软弱了，中华雄狮起来啊！,1
#菲军舰恶意撞击#草  国家在干吗   就让他那么的挑衅,1
#菲军舰恶意撞击#小菲你真不要脸，你TMD給我听好了，中国做为世界第一文明大国不給你，你说你连一个文明人你都欺负，你TMD还是人吗？,1
不是中国不打你，你p大点的国家，中国怕别的国家说中国已大欺小，你TMD知道了吗？,1
你在拽小心外星人揍你。,1
#菲军舰恶意撞击#所有爱国人士都应该对政府军队的软弱给予强烈的谴责，国家是人们的国家，不是几个人的国家，对于关乎全国人民利益的大事件，人们应该有权力表达意愿。,1
